Timestamp,PWM_Left,PWM_Right,RPM_Left,RPM_Right,X,Y,Orientation,Displacement_X,Displacement_Y,Displacement_Total,Velocity_X,Velocity_Y,Velocity_Total
1738252757.3878782,255,252,104.9,104.9,0.46159786987304685,0.14113618469238282,-0.08416483551263809,-0.00634771728515625,-0.0002103271484375,0.00635120085036218,-0.19304969763765825,-0.006396565975898024,0.1931556414249278
1738252757.404549,255,252,104.9,104.9,0.4562386474609375,0.14110427856445312,-0.008019830100238323,-0.005359222412109375,-3.19061279296875e-05,0.005359317387826074,-0.12819125287284217,-0.0007631865593758733,0.12819352466811018
1738252757.4212396,255,252,104.9,104.9,0.45156729125976564,0.14116847229003907,-0.05625412240624428,-0.004671356201171875,6.41937255859375e-05,0.004671797255086262,-0.18023261889430595,0.002476754668383773,0.1802496358586821
1738252757.4380236,255,252,104.9,104.9,0.44533596801757813,0.14127276611328124,-0.034682370722293854,-0.0062313232421875,0.0001042938232421875,0.006232195965323347,-0.18914368835078627,0.0031657029548201273,0.18917017872312095
1738252757.454666,255,252,104.9,104.9,0.4380235290527344,0.14138267517089845,-0.018685368821024895,-0.00731243896484375,0.0001099090576171875,0.007313264908063391,-0.20606279183827036,0.003097211117904341,0.2060860667218704
1738252757.4713688,255,252,104.9,104.9,0.43402081298828127,0.141479736328125,-0.007825817912817001,-0.004002716064453125,9.70611572265625e-05,0.004003892700969055,-0.12133214809675577,0.0029421619004256733,0.12136781483746584
1738252757.4881282,255,252,104.9,104.9,0.42829873657226564,0.14155628967285155,-0.0011449255980551243,-0.005722076416015625,7.65533447265625e-05,0.005722588481212942,-0.1735003361551085,0.0023211907842896284,0.1735158625964575
1738252757.5047848,255,252,137.93,103.45,0.4213408508300781,0.1416113739013672,0.0024427161552011967,-0.0069578857421875,5.5084228515625e-05,0.006958103784334297,-0.18345164697007796,0.0014523510183555442,0.18345739587030727
1738252757.5214972,255,252,137.93,103.45,0.4155673828125,0.14164755249023436,0.003932791296392679,-0.005773468017578125,3.61785888671875e-05,0.005773581370370553,-0.20013620284968098,0.0012541241032761415,0.20014013220330168
1738252757.5379782,255,252,137.93,103.45,0.41064163208007814,0.14166883850097656,0.004134233109652996,-0.004925750732421875,2.12860107421875e-05,0.0049257967246129795,-0.161161480556964,0.0006964390186824759,0.16116298533664433
