Timestamp,PWM_Left,PWM_Right,RPM_Left,RPM_Right,X,Y,Orientation,Displacement_X,Displacement_Y,Displacement_Total,Velocity_X,Velocity_Y,Velocity_Total
1738198897.7100325,145,148,182.48,182.48,0.5383429565429687,0.14166667175292968,-0.011307460255920887,-0.00932183837890625,0.0,0.00932183837890625,-0.2913937009047683,0.0,0.2913937009047683
1738198897.7269056,145,148,182.48,182.48,0.52903173828125,0.14166667175292968,0.0010148703586310148,-0.00931121826171875,0.0,0.00931121826171875,-0.286001523229246,0.0,0.286001523229246
1738198897.7434754,145,148,182.48,182.48,0.5178910522460938,0.14166667175292968,-0.05335303768515587,-0.01114068603515625,0.0,0.01114068603515625,-0.31047297081805136,0.0,0.31047297081805136
1738198897.7762299,145,148,182.48,182.48,0.5056474609375,0.14166667175292968,-0.030828379094600677,-0.01224359130859375,0.0,0.01224359130859375,-0.36714265083325587,0.0,0.36714265083325587
1738198897.7928424,145,148,217.39,181.16,0.4948267822265625,0.14166667175292968,-0.014867841266095638,-0.0108206787109375,0.0,0.0108206787109375,-0.2695660354945238,0.0,0.2695660354945238
1738198897.8095405,145,148,217.39,181.16,0.4851124267578125,0.14166667175292968,-0.004560483153909445,-0.00971435546875,0.0,0.00971435546875,-0.37284237111326657,0.0,0.37284237111326657
1738198897.8263764,145,148,217.39,181.16,0.4761834716796875,0.14166667175292968,-0.052518777549266815,-0.008928955078125,0.0,0.008928955078125,-0.28690639148721014,0.0,0.28690639148721014
1738198897.8429952,145,148,217.39,181.16,0.46576763916015623,0.14166667175292968,-0.031526390463113785,-0.01041583251953125,0.0,0.01041583251953125,-0.3142238333621037,0.0,0.3142238333621037
1738198897.859656,145,148,217.39,181.16,0.4543207702636719,0.14166667175292968,-0.016249043866991997,-0.011446868896484375,0.0,0.011446868896484375,-0.29683176813171186,0.0,0.29683176813171186
1738198897.8765345,145,148,217.39,181.16,0.44421963500976563,0.14166667175292968,-0.006092239171266556,-0.01010113525390625,0.0,0.01010113525390625,-0.32291359191481905,0.0,0.32291359191481905
