Timestamp,PWM_Left,PWM_Right,Serial_Data
1738026229.2911935,100,100,0.00
1738026246.598112,150,150,170.07 | 170.07
1738026246.617083,150,150,170.07 | 170.07
1738026246.6177971,150,150,170.07 | 170.07
1738026246.6307309,150,150,170.07 | 170.07
1738026246.6339467,150,150,170.07 | 170.07
1738026246.6471944,150,150,170.07 | 170.07
1738026246.647715,150,150,141.84 | 177.30
1738026246.6633604,150,150,141.84 | 177.30
1738026246.6649687,150,150,141.84 | 177.30
1738026246.6810873,150,150,141.84 | 177.30
1738026246.6840675,150,150,141.84 | 177.30
1738026246.6991878,150,150,141.84 | 177.30
1738026246.7019436,150,150,141.84 | 177.30
1738026246.7177315,150,150,141.84 | 177.30
1738026246.7216158,150,150,141.84 | 177.30
1738026246.734429,150,150,141.84 | 177.30
1738026246.747565,150,150,141.84 | 177.30
1738026246.7499402,150,150,141.84 | 177.30
1738026246.7630327,150,150,141.84 | 177.30
1738026246.7634091,150,150,141.84 | 177.30
1738026246.7812178,150,150,141.84 | 177.30
1738026246.7817743,150,150,141.84 | 177.30
1738026246.7965367,150,150,141.84 | 177.30
1738026246.7969627,150,150,167.79 | 234.90
1738026246.8133397,150,150,167.79 | 234.90
1738026246.8137002,150,150,167.79 | 234.90
1738026246.8309479,150,150,167.79 | 234.90
1738026246.8325353,150,150,167.79 | 234.90
1738026246.8484232,150,150,167.79 | 234.90
1738026246.8490858,150,150,167.79 | 234.90
1738026246.863502,150,150,167.79 | 234.90
1738026246.879696,150,150,167.79 | 234.90
1738026246.8814244,150,150,167.79 | 234.90
1738026246.8965473,150,150,167.79 | 234.90
1738026246.8970807,150,150,167.79 | 234.90
1738026246.9132347,150,150,167.79 | 234.90
1738026246.9135525,150,150,167.79 | 234.90
1738026246.9299874,150,150,167.79 | 234.90
1738026246.9304852,150,150,167.79 | 234.90
1738026246.9466586,150,150,167.79 | 167.79
1738026246.9484317,150,150,167.79 | 167.79
1738026246.9632356,150,150,167.79 | 167.79
1738026246.9636545,150,150,167.79 | 167.79
1738026246.9812891,150,150,167.79 | 167.79
1738026246.9826372,150,150,167.79 | 167.79
1738026246.9965925,150,150,167.79 | 167.79
1738026246.9971557,150,150,167.79 | 167.79
1738026247.0133529,150,150,167.79 | 167.79
1738026247.029771,150,150,167.79 | 167.79
