PWM_Left,RPM_Left
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,107.91
110.0,136.99
110.0,136.99
110.0,136.99
110.0,136.99
110.0,136.99
110.0,136.99
110.0,136.99
110.0,136.99
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,183.82
110.0,183.82
110.0,183.82
110.0,183.82
110.0,183.82
110.0,183.82
110.0,183.82
110.0,183.82
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,182.48
110.0,182.48
110.0,182.48
110.0,182.48
110.0,182.48
110.0,182.48
110.0,182.48
110.0,182.48
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,140.85
110.0,142.86
110.0,142.86
110.0,142.86
110.0,142.86
110.0,142.86
110.0,142.86
110.0,142.86
110.0,142.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,179.86
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,144.93
110.0,145.99
110.0,145.99
110.0,145.99
110.0,145.99
110.0,145.99
110.0,145.99
110.0,145.99
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,143.88
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
110.0,141.84
115.0,67.11
115.0,67.11
115.0,67.11
115.0,67.11
115.0,67.11
115.0,67.11
115.0,67.11
115.0,67.11
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,140.85
115.0,140.85
115.0,140.85
115.0,140.85
115.0,140.85
115.0,140.85
115.0,140.85
115.0,140.85
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,177.3
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,183.82
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,147.06
115.0,168.92
115.0,168.92
115.0,168.92
115.0,168.92
115.0,168.92
115.0,168.92
115.0,168.92
115.0,168.92
115.0,182.48
115.0,182.48
115.0,182.48
115.0,182.48
115.0,182.48
115.0,182.48
115.0,182.48
115.0,179.86
115.0,179.86
115.0,179.86
115.0,179.86
115.0,179.86
115.0,179.86
115.0,179.86
115.0,179.86
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,176.06
115.0,145.99
115.0,145.99
115.0,145.99
115.0,145.99
115.0,145.99
115.0,145.99
115.0,145.99
115.0,145.99
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,178.57
115.0,141.84
115.0,141.84
115.0,141.84
115.0,141.84
