time,raw_x,raw_y,moving_avg_x,moving_avg_y,kalman_x,kalman_y
1726839645.7606359,834.1419067382812,-21.387182235717773,779.8124877929688,-25.54436264038086,839.2799288216393,-18.96297308128024
1726839645.7962098,846.600341796875,-19.953733444213867,808.2564331054688,-24.35760154724121,859.9514945727797,-17.268764198189135
1726839645.8606417,866.5568237304688,-19.251258850097656,831.2644653320312,-21.937238693237305,878.8872919774625,-16.28382479848022
1726839645.9286025,887.8736572265625,-18.108917236328125,850.1622680664062,-20.43866729736328,897.5120272705531,-15.550298235975223
1726839645.9965098,906.9256591796875,-17.54062843322754,868.419677734375,-19.248344039916994,915.2844853278191,-15.161393726362938
1726839646.0268528,915.0191040039062,-16.550926208496094,884.5951171875,-18.281092834472656,928.0487606918748,-14.772459421780516
1726839646.058226,923.1727905273438,-15.505698204040527,899.9096069335938,-17.39148578643799,937.4569407773984,-14.295484242338508
1726839646.0953953,932.1725463867188,-15.664021492004395,913.0327514648437,-16.674038314819335,945.1595511799185,-14.218187277391593
1726839646.1264412,925.6393432617188,-14.438339233398438,920.585888671875,-15.939922714233399,945.4218479913726,-13.80813197257193
1726839646.1963856,915.193603515625,-9.512194633483887,922.2394775390625,-14.334235954284669,939.0135669094959,-11.547237043088009
1726839646.2606766,907.9679565429688,-8.863105773925781,920.829248046875,-12.796671867370605,929.7032177409869,-9.752764940821255
1726839646.328467,899.2057495117188,-3.751657724380493,916.03583984375,-10.4458637714386,918.29446628123,-6.453820365631001
1726839646.3966317,893.5045776367188,-0.8607087135314941,908.30224609375,-7.485201215744018,907.2628999422486,-3.038367087827485
1726839646.427374,890.1383666992188,-1.545453429222107,901.20205078125,-4.906624054908752,898.0119020493871,-1.1311083763517913
1726839646.4964876,882.021728515625,1.3257242441177368,894.56767578125,-2.7390402793884276,888.3982902587494,1.141181573197345
1726839646.6282818,864.6473388671875,6.393750190734863,885.9035522460938,0.3123309135437012,874.8039728657675,4.620892910430416
1726839646.6939015,862.1995849609375,10.781826972961426,878.5023193359375,3.219027853012085,864.8553455261542,8.676628524929122
1726839646.7604887,851.4833374023438,10.055967330932617,870.0980712890625,5.402363061904907,854.295785130912,10.926940373542404
1726839646.7939713,851.7069091796875,11.531540870666504,862.4117797851562,8.017761921882629,848.015242625571,12.754725868194283
1726839646.8263974,845.607421875,10.91717529296875,855.1289184570312,9.936052131652833,842.2075683880308,13.413891387469171
1726839646.8579497,842.8480834960938,10.820509910583496,850.7690673828125,10.821404075622558,838.0594836034647,13.484190539189148
1726839646.958011,830.4164428710938,8.678546905517578,844.4124389648438,10.40074806213379,830.9061559325285,12.329023625043828
1726839646.996544,826.3997802734375,13.272674560546875,839.3957275390625,11.04408950805664,825.0327577730609,13.224617413715341
1726839647.0265827,823.0042114257812,13.05249309539795,833.6551879882812,11.34827995300293,820.3585632355639,13.651384608657363
1726839647.058127,817.09716796875,11.356688499450684,827.9531372070312,11.436182594299316,815.4444183488703,13.112248700789984
1726839647.1285374,812.9444580078125,14.937417984008789,821.972412109375,12.259564208984376,811.0309993376918,14.134934932998226
1726839647.196502,808.6337280273438,17.64381980895996,817.615869140625,14.052618789672852,806.8664339111531,15.958934827497586
1726839647.2265625,803.5875854492188,18.94792938232422,813.0534301757813,15.18766975402832,802.5169289123376,17.742800690012444
1726839647.2581007,800.5533447265625,17.838111877441406,808.5632568359375,16.14479351043701,798.8409829594423,18.42668874589209
1726839647.294682,799.212646484375,18.456741333007812,804.9863525390625,17.564804077148438,796.340711959151,19.019726137538555
1726839647.3259432,794.556396484375,18.694622039794922,801.308740234375,18.316244888305665,793.2326159160439,19.401509152843982
